Note Names from C	Number Of Notes In Scale	Ascending Note Positions in Scale	Binary 12notes 1&0	Pitch Set binary	Name Of Scale	Alternative Scale Names	Flatmost Note	PitchSet Notation 12 edo	PositionOfTonic	Sharpmost Note	Composer	Reference Url	WorkExample
C D F B .	4	1 2 4 7 .	101001000001	2625	Theoretical - No Known Name		F	0 2 5 11	2	B			
C Eb A Bb .	4	1 3b 6 7b .	100100000110	2310	Theoretical - No Known Name		Eb	0 3 9 10	4	A			
C Db Eb Gb .	4	1 2b 3b 5b .	110100100000	3360	Theoretical - No Known Name		Gb	0 1 3 6	7	C			
C E F# G A .	5	1 3 4# 5 6 .	100010110100	2228	Raga Dhavalashri (India) 	Chord C6sus#4	C	0 4 6 7 9	1	F#			
C D F A B .	5	1 2 4 6 7 .	101001000101	2629	Raga Rasranjani (India)		F	0 2 5 9 11	2	B			
C Eb G A Bb .	5	1 3b 5 6 7b .	100100010110	2326	Theoretical - No Known Name	Chord Cm13	Eb	0 3 7 9 10	4	A			
C D Eb F Ab .	5	1 2 3b 4 6b .	101101001000	2888	Raga Audva Tukhari (India)		Ab	0 2 3 5 8	5	D			
C Db Eb Gb Bb .	5	1 2b 3b 5b 7b .	110100100010	3362	Theoretical - No Known Name		Gb	0 1 3 6 10	7	C			
C D E F# G B .	6	1 2 3 4# 5 7 .	101010110001	2737	Raga Caturangini (India)		C	0 2 4 6 7 11	1	F#			
C E F G A B .	6	1 3 4 5 6 7 .	100011010101	2261	Genus Secundum	Chord CMaj6sus4	F	0 4 5 7 9 11	2	B			
C D E F A Bb .	6	1 2 3 4 6 7b .	101011000110	2758	Raga Rageshri, Nattaikurinji (India)		Bb	0 2 4 5 9 10	3	E			
C D Eb G Ab Bb .	6	1 2 3b 5 6b 7b .	101100011010	2842	Raga Trimurti	Chord Cm9b13	Ab	0 2 3 7 8 10	5	D			
C Db Eb F G Ab .	6	1 2b 3b 4 5 6b .	110101011000	3416	Raga Simantini (India)		Db	0 1 3 5 7 8	6	G			
C Db F Gb Ab Bb .	6	1 2b 4 5b 6b 7b .	110001101010	3178	Theoretical - No Known Name		Gb	0 1 5 6 8 10	7	C			
C D F# G B .	5	1 2 4# 5 7 .	101000110001	2609	Raga Vaijayanti (India)		C	0 2 6 7 11	1	F#			
C E F G B .	5	1 3 4 5 7 .	100011010001	2257	Ionian Pentatonic Raga Gambhiranata (India)	Abheri Asc. Carn Raga & Chord CMaj7sus4	F	0 4 5 7 11	2	B			
C E F A Bb .	5	1 3 4 6 7b .	100011000110	2246	Raga Khamaji Durga (India)		Bb	0 4 5 9 10	3	E			
C Db Eb G Ab .	5	1 2b 3b 5 6b .	110100011000	3352	Balinese, Pelog 1 		Db	0 1 3 7 8	6	G			
C Db F Gb Ab .	5	1 2b 4 5b 6b .	110001101000	3176	Theoretical - No Known Name	Chord C-b5b6b9sus4	Gb	0 1 5 6 8	7	C			
C D F# G .	4	1 2 4# 5 .	101000110000	2608	Theoretical - No Known Name		C	0 2 6 7	1	F#			
C F G B .	4	1 4 5 7 .	100001010001	2129	Theoretical - No Known Name		F	0 5 7 11	2	B			
C E F Bb .	4	1 3 4 7b .	100011000010	2242	Theoretical - No Known Name		Bb	0 4 5 10	3	E			
C Db Gb Ab .	4	1 2b 5b 6b .	110000101000	3112	Theoretical - No Known Name		Gb	0 1 6 8	7	C			
C D E F# G .	5	1 2 3 4# 5 .	101010110000	2736	Lydian Pentachord		C	0 2 4 6 7	1	F#			
C F G A B .	5	1 4 5 6 7 .	100001010101	2133	Raga Puruhutika, Purvaholika (India)	Chord - CMaj6sus4	F	0 5 7 9 11	2	B			
C D E F Bb .	5	1 2 3 4 7b .	101011000010	2754	Theoretical - No Known Name		Bb	0 2 4 5 10	3	E			
C D Eb Ab Bb .	5	1 2 3b 6b 7b .	101100001010	2826	Theoretical - No Known Name		Ab	0 2 3 8 10	5	D			
C Db Gb Ab Bb .	5	1 2b 5b 6b 7b .	110000101010	3114	Theoretical - No Known Name		Gb	0 1 6 8 10	7	C			
C D F# G A B .	6	1 2 4# 5 6 7 .	101000110101	2613	Raga Nishadi (India)		C	0 2 6 7 9 11	1	F#			
C D E F G B .	6	1 2 3 4 5 7 .	101011010001	2769	Raga Nalinakanti, Kedaram (India)	Chord CMaj9sus4	F	0 2 4 5 7 11	2	B			
C E F G A Bb .	6	1 3 4 5 6 7b .	100011010110	2262	Raga Khamas, Baduhari (India)	Chord C13sus4	Bb	0 4 5 7 9 10	3	E			
C D Eb F A Bb .	6	1 2 3b 4 6 7b .	101101000110	2886	Raga Bagesri,  Sriranjani, Kapijingla (India)	Chord Cm69sus4	Eb	0 2 3 5 9 10	4	A			
C Db Eb G Ab Bb .	6	1 2b 3b 5 6b 7b .	110100011010	3354	Raga Kashyapi (India)	Chord Cmb6b9	Db	0 1 3 7 8 10	6	G			
C Db Eb F Gb Ab .	6	1 2b 3b 4 5b 6b .	110101101000	3432	Theoretical - No Known Name		Gb	0 1 3 5 6 8	7	C			
C D F# G A .	5	1 2 4# 5 6 .	101000110100	2612	Raga Shri Kalyan		C	0 2 6 7 9	1	F#			
C D F G B .	5	1 2 4 5 7 .	101001010001	2641	Raga Desh		F	0 2 5 7 11	2	B			
C E F G Bb .	5	1 3 4 5 7b .	100011010010	2258	Mixolydian Pentatonic	Chord C7sus4	Bb	0 4 5 7 10	3	E			
C Eb F A Bb .	5	1 3b 4 6 7b .	100101000110	2374	Raga Chandrakauns Kafi, Surya (India)		Eb	0 3 5 9 10	4	A			
C Db Eb Gb Ab .	5	1 2b 3b 5b 6b .	110100101000	3368	Raga Chhaya Todi (India)		Gb	0 1 3 6 8	7	C			
C D E F# G A .	6	1 2 3 4# 5 6 .	101010110100	2740	Raga Yamuna Kalyani		C	0 2 4 6 7 9	1	F#			
C D F G A B .	6	1 2 4 5 6 7 .	101001010101	2645	Raga Nagagandhari (India)		F	0 2 5 7 9 11	2	B			
C D E F G Bb .	6	1 2 3 4 5 7b .	101011010010	2770	Raga Siva Kambhoji, Vivardhini (India)	Chord C9sus4	Bb	0 2 4 5 7 10	3	E			
C Eb F G A Bb .	6	1 3b 4 5 6 7b .	100101010110	2390	Raga Manohari (India)	Chord Cm13sus4	Eb	0 3 5 7 9 10	4	A			
C D Eb F Ab Bb .	6	1 2 3b 4 6b 7b .	101101001010	2890	Theoretical - No Known Name		Ab	0 2 3 5 8 10	5	D			
C Db Eb Gb Ab Bb .	6	1 2b 3b 5b 6b 7b .	110100101010	3370	Raga Bhavani (India)		Gb	0 1 3 6 8 10	7	C			
C C# D E F# G A B .	8	1 1# 2 3 4# 5 6 7 .	111010110101	3765	Theoretical - No Known Name		C	0 1 2 4 6 7 9 11	1	C#			
C D E F F# G A B .	8	1 2 3 4 4# 5 6 7 .	101011110101	2805	Major Lydian Genus Diatonicum Veterum Correctum	Ishikotsucho (Japan)	F	0 2 4 5 6 7 9 11	2	F#			
C D E F G A Bb B .	8	1 2 3 4 5 6 7b 7 .	101011010111	2775	Dominant Bebop		Bb	0 2 4 5 7 9 10 11	3	B	Messiaen Mode 6		Technique of My Musical Language e.g. 350 from C
C D Eb E F G A Bb .	8	1 2 3b 3 4 5 6 7b .	101111010110	3030	Minor Bebop (As Minor Bebop 11/891011/3 in 12edo) 		Eb	0 2 3 4 5 7 9 10	4	E			
C D Eb F G Ab A Bb .	8	1 2 3b 4 5 6b 6 7b .	101101011110	2910	Dorian Aoelian (Al b¢s) 11/891011/4 in 12edo)		Ab	0 2 3 5 7 8 9 10	5	A			
C Db D Eb F G Ab Bb .	8	1 2b 2 3b 4 5 6b 7b .	111101011010	3930	Phrygian Aeolian 2b 4b 6b		Db	0 1 2 3 5 7 8 10	6	D			
C Db Eb F Gb G Ab Bb .	8	1 2b 3b 4 5b 5 6b 7b .	110101111010	3450	Phrygian Locrian (All b¢s) - 11/891011/6 in 12edo)		Gb	0 1 3 5 6 7 8 10	7	G			
C Db Eb F Gb Ab Bb Cb .	8	1 2b 3b 4 5b 6b 7b 8b .	110101101011	3435	Prokofiev (All b¢s)16/589101113141516/7 in 12 edo)		Cb	0 1 3 5 6 8 10 11	8	C			
C C# D E F# A B .	7	1 1# 2 3 4# 6 7 .	111010100101	3749	Theoretical - No Known Name		C	0 1 2 4 6 9 11	1	C#			
C D E G A Bb B .	7	1 2 3 5 6 7b 7 .	101010010111	2711	Theoretical - No Known Name		Bb	0 2 4 7 9 10 11	3	B			
C D Eb E F G A  .	7	1 2 3b 3 4 5 6 .	101111010100	3028	Theoretical - No Known Name		Eb	0 2 3 4 5 7 9	4	E			
C D F G Ab A Bb .	7	1 2 4 5 6b 6 7b .	101001011110	2654	Theoretical - No Known Name		Ab	0 2 5 7 8 9 10	5	A			
C Db D Eb F G Bb  .	7	1 2b 2 3b 4 5 7b .	111101010010	3922	Theoretical - No Known Name		Db	0 1 2 3 5 7 10	6	D			
C Eb F Gb G Ab Bb .	7	1 3b 4 5b 5 6b 7b .	100101111010	2426	Theoretical - No Known Name		Gb	0 3 5 6 7 8 10	7	G			
C Db Eb F Ab Bb Cb .	7	1 2b 3b 4 6b 7b 8b .	110101001011	3403	Theoretical - No Known Name		Cb	0 1 3 5 8 10 11	8	C			
C C# E F# A B .	6	1 1# 3 4# 6 7 .	110010100101	3237	Raga Hamsanandi, Puriya (India)		C	0 1 4 6 9 11	1	C#			
C D Eb E G A .	6	1 2 3b 3 5 6 .	101110010100	2964	Blues Dorian Hex (all b¢s) as 9/6789/1 in 12edo)	Blues Dorian Hexatonic	Eb	0 2 3 4 7 9	4	E			
C D F G Ab A .	6	1 2 4 5 6b 6 .	101001011100	2652	Theoretical - No Known Name		Ab	0 2 5 7 8 9	5	A			
C Db D F G Bb .	6	1 2b 2 4 5 b7 .	111001010010	3666	Theoretical - No Known Name		Db	0 1 2 5 7 10	6	D			
C Eb F Gb G Bb .	6	1 3b 4 5b 5 7b .	100101110010	2418	Blues Minor (All b¢s 9/6789/4 in 12edo)		Gb	0 3 5 6 7 10	7	G			
C Eb F Ab Bb Cb .	6	1 3b 4 6b 7b 8b .	100101001011	2379	Theoretical - No Known Name		Cb	0 3 5 8 10 11	8	C			
C C# E F# B .	5	1 1# 3 4# 7 .	110010100001	3233	Theoretical - No Known Name		C	0 1 4 6 11	1	C#			
C D G Ab A .	5	1 2 5 6b 6 .	101000011100	2588	Theoretical - No Known Name		Ab	0 2 7 8 9	5	A			
C Db D F G .	5	1 2b 2 4 5 .	111001010000	3664	Theoretical - No Known Name		Db	0 1 2 5 7	6	D			
C F Gb G Bb .	5	1 4 5b 5 7b  .	100001110010	2162	Theoretical - No Known Name		Gb	0 5 6 7 10	7	G			
C Eb F Bb Cb .	5	1 3b 4 7b 8b .	100101000011	2371	Theoretical - No Known Name		Cb	0 3 5 10 11	8	C			
C C# F# B .	4	1 1# 4# 7 .	110000100001	3105	Theoretical - No Known Name (as 7/4567/8 in 12edo)		C	0 1 6 11	1	C#			
C Db D G .	4	1 2b 2 5 .	111000010000	3600	Theoretical - No Known Name (as 7/4567/1 in 12edo)		Db	0 1 2 7	6	D			
C F Gb G .	4	1 4 5b 5 .	100001110000	2160	Theoretical - No Known Name as 7/4567/2 in 12edo)		Gb	0 5 6 7 	7	G			
C F Bb Cb .	4	1 4 7b 8b .	100001000011	2115	Theoretical - No Known Name (as 7/4567/3in 12edo)		Cb	0 5 10 11 	8	C			
C C# F# .	3	1 1# 4# .	110000100000	3104	Theoretical - No Known Name (as 6/3456/7 in 12edo)		C	0 1 6	1	C#			
C Gb G .	3	1 5b 5 .	100000110000	2096	Raga Ongkari (India) (as 6/3456/1 in 12edo)		Gb	0 6 7	7	G			
C F Cb .	3	1 4 8b .	100001000001	2113	Theoretical - No Known Name (as 6/3456/2 in 12edo)		Cb	0 5 11	8	C			
C C# .	2	1 1# .	110000000000	3072	Sharp one interval	Semitone Interval	C	0 1	1	C#			
C Cb .	2	1 8b .	100000000001	2049	Flat Octave Interval		Cb	0 11	8	C			
C C# B .	4	1 1# 7 .	110000000101	3077	Theoretical - No Known Name		C	0 1 9 11	1	C#			
C Db D .	3	1 2b 2 .	111000000000	3584	Chromatic TriMirror		Db	0 1 2	6	D			
C C# E F# .	4	1 1# 3 4# .	110010100000	3232	Theoretical - No Known Name		C	0 1 4 6	1	C#			
C D Ab A .	4	1 2 b6 6 .	101000001100	2572	Theoretical - No Known Name		Ab	0 2 8 9	5	A			
C C# E .	3	1 1# 3 .	110010000000	3200	Theoretical - No Known Name		C	0 1 4	1	C#			
C Ab A .	3	1 6b 6  .	100000001100	2060	Theoretical - No Known Name		Ab	0 8 9	5	A			
C C# E B .	4	1 1# 3 7 .	110010000001	3201	Theoretical - No Known Name		C	0 1 4 11	1	C#			
C Db D F .	4	1 2b 2 4 .	111001000000	3648	Theoretical - No Known Name		Db	0 1 2 5	6	D			
C C# F# A B .	5	1 1# 4# 6 7 .	110000100101	3109	Theoretical - No Known Name		C	0 1 6 9 11	1	C#			
C D Eb E A .	5	1 2 3b 3 6 .	101110000100	2948	Theoretical - No Known Name		Eb	0 2 3 4 9	4	E			
C C# F# A .	4	1 1# 4# 6 .	110000100100	3108	Theoretical - No Known Name		C	0 1 6 9	1	C#			
C Eb E A .	4	1 3b 3 6 .	100110000100	2436	Theoretical - No Known Name		Eb	0 3 4 9	4	E			
C Eb Gb G .	4	1 3b 5b 5 .	100100110000	2352	C minor add b5 chord	Chord of Cm b5	Gb	0 3 6 7	7	G			
C C# A .	3	1 1# 6 .	110000000100	3076	Theoretical - No Known Name		C	0 1 9	1	C#			
C Eb E .	3	1 3b 3 .	100110000000	2432	Theoretical - No Known Name		Eb	0 3 4	4	E			
C D Eb E .	4	1 2 3b 3 .	101110000000	2944	Theoretical - No Known Name		Eb	0 2 3 4 	4	E			
C Db D Bb .	4	1 2b 2 7b .	111000000010	3586	Theoretical - No Known Name		Db	0 1 2 10	6	D			
C C# E F# A .	5	1 1# 3 4# 6 .	110010100100	3236	Theoretical - No Known Name		C	0 1 4 6 9	1	C#			
C Eb E G A .	5	1 3b 3 5 6 .	100110010100	2452	Raga Mohanangi (India)		Eb	0 3 4 7 9	4	E			
C D F Ab A .	5	1 2 4 6b 6 .	101001001100	2636	Theoretical - No Known Name		Ab	0 2 5 8 9	5	A			
C Eb Gb G Bb .	5	1 3b 5b 5 7b .	100100110010	2354	Raga Samudhra Priya (India)?		Gb	0 3 6 7 10	7	G			
C C# E A .	4	1 1# 3 6 .	110010000100	3204	Theoretical - No Known Name		C	0 1 4 9	1	C#			
C Eb E G  .	4	1 3b 3 5 .	100110010000	2448	Theoretical - No Known Name		Eb	0 3 4 7	4	E			
C F Ab A  .	4	1 5 6b 6 .	100001001100	2124	Theoretical - No Known Name		Ab	0 5 8 9	5	A			
C C# E A B .	5	1 1# 3 6 7 .	110010000101	3205	Theoretical - No Known Name		C	0 1 4 9 11	1	C#			
C D Eb E G .	5	1 2 3b 3 5  .	101110010000	2960	Theoretical - No Known Name		Eb	0 2 3 4 7 	4	E			
C F G Ab A .	5	1 4 5 6b 6 .	100001011100	2140	Theoretical - No Known Name		Ab	0 5 7 8 9	5	A			
C Db D F Bb .	5	1 2b 2 4 7b .	111001000010	3650	Theoretical - No Known Name		Db	0 1 2 5 10	6	D			
C Eb Ab Bb Cb .	5	1 3b 6b 7b 8b .	100100001011	2315	Theoretical - No Known Name		Cb	0 3 8 10 11	8	C			
C C# D E F# B .	6	1 1# 2 3 4# 7 .	111010100001	3745	Theoretical - No Known Name		C	0 1 2 4 6 11	1	C#			
C D E A Bb B .	6	1 2 3 6 7b 7 .	101010000111	2695	Theoretical - No Known Name		Bb	0 2 4 9 10 11	3	B			
C D G Ab A Bb .	6	1 2 5 6b 6 7b .	101000011110	2590	Theoretical - No Known Name		Ab	0 2 7 8 9 10	5	A			
C Db D Eb F G .	6	1 2b 2 3b 4 5 .	111101010000	3920	Theoretical - No Known Name		Db	0 1 2 3 5 7	6	D			
C F Gb G Ab Bb .	6	1 4 5b 5 6b 7b .	100001111010	2170	Theoretical - No Known Name		Gb	0 5 6 7 8 10	7	G			
C Db Eb F Bb Cb .	6	1 2b 3b 4 7b 8b .	110101000011	3395	Theoretical - No Known Name		Cb	0 1 3 5 10 11	8	C			
C C# D F# B .	5	1 1# 2 4# 7 .	111000100001	3617	Theoretical - No Known Name		C	0 1 2 6 11	1	C#			
C E A Bb B .	5	1 3 6 7b 7 .	100010000111	2183	Theoretical - No Known Name		Bb	0 4 9 10 11	3	B			
C Db D Eb G .	5	1 2b 2 3b 5 .	111100010000	3856	Theoretical - No Known Name		Db	0 1 2 3 7	6	D			
C F Gb G Ab .	5	1 4 5b 5 6b .	100001111000	2168	Theoretical - No Known Name		Gb	0 5 6 7 8	7	G			
C Db F Bb Cb .	5	1 2b 4 7b 8b .	110001000011	3139	Theoretical - No Known Name		Cb	0 1 5 10 11	8	C			
C C# D F# .	4	1 1# 2 4# .	111000100000	3616	Theoretical - No Known Name		C	0 1 2 6	1	C#			
C E Bb B .	4	1 3 7b 7 .	100010000011	2179	Theoretical - No Known Name		Bb	0 4 10 11	3	B			
C Gb G Ab .	4	1 5b 5 6b .	100000111000	2104	Theoretical - No Known Name		Gb	0 6 7 8	7	G			
C Db F Cb .	4	1 2b 4 8b .	110001000001	3137	Theoretical - No Known Name		Cb	0 1 5 11	8	C			
C C# D .	3	1 1# 2 .	111000000000	3584	Chromatic TriMirror		C	0 1 2	1	C#			
C Bb B .	3	1 7b 7 .	100000000011	2051	"Flat Seventh and Seventh
Flat Seventh and Seventh
Flat Seventh and Seventh
Flat Seventh and Seventh
Flat Seventh and Seventh
"		Bb	0 10 11	3	B			
C Db Cb .	3	1 2b 8b .	110000000001	3073	Theoretical - No Known Name		Cb	0 1 11	8	C			
C A Bb B .	3	1 6 7b 7 .	100000000111	2055	Theoretical - No Known Name		Bb	0 9 10 11	3	B			
C C# D B .	4	1 1# 2 7 .	111000000001	3585	Theoretical - No Known Name		C	0 1 2 11	1	C#			
C Db D Eb .	4	1 2b 2 3b .	111100000000	3840	Chromatic TetraMirror		Db	0 1 2 3 	6	D			
C Db Bb Cb .	4	1 2b 7b 8b .	110000000011	3075	Theoretical - No Known Name		Cb	0 1 10 11	7	C			
C C# D E F# .	5	1 1# 2 3 4# .	111010100000	3744	Theoretical - No Known Name		C	0 1 2 4 6	1	C#			
C D E Bb B .	5	1 2 3 7b 7 .	101010000011	2691	Theoretical - No Known Name		Bb	0 2 4 10 11	3	B			
C D Ab A Bb .	5	1 2 6b 6 7b .	101000001110	2574	Theoretical - No Known Name		Ab	0 2 8 9 10	5	A			
C Gb G Ab Bb .	5	1 5b 5 6b 7b .	100000111010	2106	Theoretical - No Known Name		Gb	0 6 7 8 10	7	G			
C Db Eb F Cb .	5	1 2b 3b 4 8b .	110101000001	3393	Theoretical - No Known Name		Cb	0 1 3 5 11	8	C			
C C# D E .	4	1 1# 2 3 .	111010000000	3712	Theoretical - No Known Name		C	0 1 2 4	1	C#			
C D Bb B .	4	1 2 7b 7 .	101000000011	2563	Theoretical - No Known Name		Bb	0 2 10 11	3	B			
C Ab A Bb .	4	1 6b 6 7b .	100000001110	2062	Theoretical - No Known Name		Ab	0 8 9 10	5	A			
C Db Eb Cb .	4	1 2b 3b 8b .	110100000001	3329	Theoretical - No Known Name		Cb	0 1 3 11	8	C			
C C# D E B .	5	1 1# 2 3 7 .	111010000001	3713	Theoretical - No Known Name		C	0 1 2 4 11	1	C#			
C D A Bb B .	5	1 2 6 7b 7 .	101000000111	2567	Theoretical - No Known Name		Bb	0 2 9 10 11	3	B			
C G Ab A Bb .	5	1 5 6b 6 7b .	100000011110	2078	Theoretical - No Known Name		Ab	0 7 8 9 10	5	A			
C Db D Eb F .	5	1 2b 2 3b 4 .	111101000000	3904	Blues PentaCluster 3b¢s		Db	0 1 2 3 5	6	D			
C Db Eb Bb Cb .	5	1 2b 3b 7b 8b .	110100000011	3331	Theoretical - No Known Name		Cb	0 1 3 10 11	8	C			
C C# D F# A B .	6	1 1# 2 4# 6 7 .	111000100101	3621	Theoretical - No Known Name		C	0 1 2 6 9 11	1	C#			
C E G A Bb B .	6	1 3 5 6 7b 7 .	100010010111	2199	Theoretical - No Known Name		Bb	0 4 7 9 10 11	3	B			
C D Eb E F A .	6	1 2 3b 3 4 6 .	101111000100	3012	Theoretical - No Known Name		Eb	0 2 3 4 5 9	4	E			
C Db D Eb G Bb .	6	1 2b 2 3b 5 7b .	111100010010	3858	Theoretical - No Known Name		Db	0 1 2 3 7 10	6	D			
C Eb F Gb G Ab .	6	1 3b 4 5b 5 6b .	100101111000	2424	Theoretical - No Known Name		Gb	0 3 5 6 7 8	7	G			
C Db F Ab Bb Cb .	6	1 2b 4 6b 7b 8b .	110001001011	3147	Theoretical - No Known Name		Cb	0 1 5 8 10 11	8	C			
C C# D F# A .	5	1 1# 2 4# 6 .	111000100100	3620	Theoretical - No Known Name		C	0 1 2 6 9	1	C#			
C E G Bb B .	5	1 3 5 7b 7 .	100010010011	2195	Theoretical - No Known Name		Bb	0 4 7 10 11	3	B			
C Eb E F A .	5	1 3b 3 4 6 .	100111000100	2500	Theoretical - No Known Name		Eb	0 3 4 5 9	4	E			
C Eb Gb G Ab .	5	1 3b 5b 5 6b .	100100111000	2360	Theoretical - No Known Name		Gb	0 3 6 7 8	7	G			
C Db F Ab Cb .	5	1 2b 4 6b 8b .	110001001001	3145	Raga Kshanika (India)		Cb	0 1 5 8 11	8	C			
C C# D A .	4	1 1# 2 6 .	111000000100	3588	Theoretical - No Known Name		C	0 1 2 9	1	C#			
C G Bb B .	4	1 5 7b 7 .	100000010011	2067	Theoretical - No Known Name		Bb	0 7 10 11	3	B			
C Eb E F .	4	1 3b 3 4 .	100111000000	2496	Theoretical - No Known Name		Eb	0 3 4 5	4	E			
C Db Ab Cb .	4	1 2b 6b 8b .	110000001001	3081	Theoretical - No Known Name		Cb	0 1 8 11	8	C			
C C# D A B .	5	1 1# 2 6 7 .	111000000101	3589	Theoretical - No Known Name		C	0 1 2 9 11	1	C#			
C G A Bb B .	5	1 5 6 7b 7 .	100000010111	2071	Theoretical - No Known Name		Bb	0 7 9 10 11	3	B			
C D Eb E F .	5	1 2 3b 3 4 .	101111000000	3008	Theoretical - No Known Name		Eb	0 2 3 4 5	4	E			
C Db D Eb Bb .	5	1 2b 2 3b 7b .	111100000010	3842	Theoretical - No Known Name		Db	0 1 2 3 10	6	D			
C Db Ab Bb Cb .	5	1 2b 6b 7b 8b .	110000001011	3083	Theoretical - No Known Name		Cb	0 1 8 10 11	8	C			
C C# D E F# A .	6	1 1# 2 3 4# 6 .	111010100100	3748	Theoretical - No Known Name		C	0 1 2 4 6 9	1	C#			
C D E G Bb B .	6	1 2 3 5 7b 7 .	101010010011	2707	Theoretical - No Known Name		Bb	0 2 4 7 10 11	3	B			
C Eb E F G A .	6	1 3b 3 4 5 6 .	100111010100	2516	Theoretical - No Known Name		Eb	0 3 4 5 7 9	4	E			
C D F Ab A Bb .	6	1 2 4 6b 6 7b .	101001001110	2638	Theoretical - No Known Name		Ab	0 2 5 8 9 10	5	A			
C Eb Gb G Ab Bb  .	6	1 3b 5b 5 6b 7b .	100100111010	2362	Theoretical - No Known Name		Gb	0 3 6 7 8 10	7	G			
C Db Eb F Ab Cb .	6	1 2b 3b 4 6b 8b .	110101001001	3401	Theoretical - No Known Name (as 13/24789101213/6 in 12edo)		Cb	0 1 3 5 8 11	8	C			
C C# D E A .	5	1 1# 2 3 6 .	111010000100	3716	Theoretical - No Known Name		C	0 1 2 4 9	1	C#			
C D G Bb B .	5	1 2 5 7b 7 .	101000010011	2579	Theoretical - No Known Name		Bb	0 2 7 10 11	3	B			
C Eb E F G .	5	1 3b 3 4 5 .	100111010000	2512	Theoretical - No Known Name		Eb	0 3 4 5 7	4	E			
C F Ab A Bb .	5	1 4 6b 6 7b .	100001001110	2126	Theoretical - No Known Name		Ab	0 5 8 9 10	5	A			
C Db Eb Ab Cb .	5	1 2b 3b 6b 8b .	110100001001	3337	Theoretical - No Known Name		Cb	0 1 3 8 11	8	C			
C C# D E A B .	6	1 1# 2 3 6 7 .	111010000101	3717	Theoretical - No Known Name		C	0 1 2 4 9 11	1	C#			
C D G A Bb B .	6	1 2 5 6 7b 7 .	101000010111	2583	Theoretical - No Known Name		Bb	0 2 7 9 10 11	3	B			
C D Eb E F G .	6	1 2 3b 3 4 5 .	101111010000	3024	Theoretical - No Known Name		Eb	0 2 3 4 5 7	4	E			
C F G Ab A Bb .	6	1 4 5 6b 6 7b .	100001011110	2142	Theoretical - No Known Name		Ab	0 5 7 8 9 10	5	A			
C Db D Eb F Bb .	6	1 2b 2 3b 4 7b .	111101000010	3906	Theoretical - No Known Name		Db	0 1 2 3 5 10	6	D			
C Db Eb Ab Bb Cb .	6	1 2b 3b 6b 7b 8b .	110100001011	3339	Theoretical - No Known Name		Cb	0 1 3 8 10 11	8	C			
C C# E F# G A B .	7	1 1# 3 4# 5 6 7 .	110010110101	3253	Marva Thaat (India) (as Marva 11/23458/6 in 12 edo)	Marva Thaat (India)	C	0 1 4 6 7 9 11	1	C#			
C D E F F# A B .	7	1 2 3 4 4# 6 7 .	101011100101	2789	Theoretical - No Known Name		F	0 2 4 5 6 9 11	2	F#			
C D Eb E G A Bb .	7	1 2 3b 3 5 6 7b .	101110010110	2966	Minor Bebop (all b¢s) 11/2891011/3 in 12edo)		Eb	0 2 3 4 7 9 10	4	E			
C D Eb F G Ab A .	7	1 2 3b 4 5 6b 6 .	101101011100	2908	Mela Jhankaradhvani (India)		Ab	0 2 3 5 7 8 9	5	A			
C Db D F G Ab Bb .	7	1 2b 2 4 5 6b 7b .	111001011010	3674	Mela Ratnangi (India)		Db	0 1 2 5 7 8 10	6	D			
C Db Eb F Gb G Bb .	7	1 2b 3b 4 5b 5 7b .	110101110010	3442	Blues Phrygian 11/2891011/6 in 12edo)		Gb	0 1 3 5 6 7 10	7	G			
C Eb F Gb Ab Bb Cb .	7	1 3b 4 5b 6b 7b 8b .	100101101011	2411	Theoretical - No Known Name		Cb	0 3 5 6 8 10 11	8	C			
C C# E F# G B .	6	1 1# 3 4# 5 7 .	110010110001	3249	Raga Mandari, Gamakakriya (India)		C	0 1 4 6 7 11	1	C#			
C E F F# A B .	6	1 3 4 4# 6 7 .	100011100101	2277	Theoretical - No Known Name		F	0 4 5 6 9 11	2	F#			
C D Eb G Ab A .	6	1 2 3b 5 6b 6 .	101100011100	2844	Theoretical - No Known Name		Ab	0 2 3 7 8 9	5	A			
C Db D F G Ab .	6	1 2b 2 4 5 6b .	111001011000	3672	Theoretical - No Known Name		Db	0 1 2 5 7 8	6	D			
C Db F Gb G Bb .	6	1 2b 4 5b 5 7b .	110001110010	3186	Theoretical - No Known Name		Gb	0 1 5 6 7 10	7	G			
C Eb F Gb Bb Cb .	6	1 3b 4 5b 7b 8b .	100101100011	2403	Theoretical - No Known Name		Cb	0 3 5 6 10 11	8	C			
C C# F# G B .	5	1 1# 4# 5 7 .	110000110001	3121	Theoretical - No Known Name		C	0 1 6 7 11	1	C#			
C E F F# B .	5	1 3 4 4# 7 .	100011100001	2273	Theoretical - No Known Name		F	0 4 5 6 11	2	F#			
C Db D G Ab .	5	1 2b 2 5 6b .	111000011000	3608	Theoretical - No Known Name		Db	0 1 2 7 8	6	D			
C Db F Gb G .	5	1 2b 4 5b 5 .	110001110000	3184	Theoretical - No Known Name		Gb	0 1 5 6 7	7	G			
C F Gb Bb Cb .	5	1 4 5b 7b 8b .	100001100011	2147	Theoretical - No Known Name		Cb	0 5 6 10 11	8	C			
